,time_sec,number_total_car,number_departed_car,number_arrived_car,avg_wait_sec,avg_speed_mps,std_queue,avg_queue
162,4860,144,0,2,40.236111111111114,2.1303115265586854,9.76921184128996,12.75
163,4890,137,1,1,27.014598540145986,2.913591307667086,7.545694136393285,10.75
164,4920,145,1,0,23.124137931034483,2.3650362570738874,8.011710179481033,12.25
165,4950,151,1,1,28.834437086092716,2.434608473300199,9.051933495115836,12.25
166,4980,145,1,0,31.310344827586206,2.4848728050832523,7.858116822750856,12.5
167,5010,143,1,1,41.75524475524475,2.3340324334443348,8.831760866327848,13.0
168,5040,135,1,0,29.118518518518517,2.659846772125234,7.809249323718638,10.625
169,5070,140,1,1,25.464285714285715,2.7114138701555146,8.440971508067067,11.5
170,5100,136,0,1,22.264705882352942,2.690426236933799,6.85109480302236,10.25
171,5130,141,3,1,30.19148936170213,2.131442475009798,8.874119674649425,13.0
172,5160,145,0,0,26.76551724137931,2.5352210300910114,8.073877630977572,11.25
173,5190,143,1,1,28.90909090909091,2.4436176702826256,8.774074025217704,12.375
174,5220,134,1,2,24.47761194029851,2.630784866920214,6.837397165588672,10.5
175,5250,137,1,1,28.94160583941606,2.4279713694438376,8.717797887081348,12.0
176,5280,132,1,0,45.00757575757576,2.6264690662739527,9.56229574945264,11.75
177,5310,122,0,0,31.40983606557377,2.9238544023114756,7.361215932167728,9.25
178,5340,119,0,0,19.672268907563026,3.147749981623964,5.431390245600108,8.0
179,5370,123,1,1,27.227642276422763,3.2104434596698024,6.009107670860957,9.125
180,5400,133,2,1,31.661654135338345,2.1522396633495644,8.099961419661208,12.125
181,5430,143,0,1,30.888111888111887,2.9404409998047982,9.694553883495619,11.625
182,5460,149,2,0,37.68456375838926,2.692487392503937,8.954747344286158,12.25
183,5490,150,0,1,20.80666666666667,2.0518687523970165,5.861687043846677,12.125
184,5520,145,1,1,34.144827586206894,1.5564681531154732,6.152997237119484,11.125
185,5550,158,2,0,32.68354430379747,2.387167009280412,7.77717011515114,12.625
186,5580,158,0,1,54.537974683544306,1.4419880828955205,9.616879691459179,16.375
187,5610,149,0,2,51.73154362416108,2.3036505524659243,10.481382303875764,13.125
188,5640,143,0,1,35.46153846153846,2.5001467702852693,8.936407275857563,11.875
189,5670,138,0,1,20.92753623188406,2.5705653015108116,8.053531833922307,10.875
190,5700,139,0,0,29.37410071942446,2.6405895746688697,7.745966692414834,11.0
191,5730,145,1,1,39.53793103448276,1.9884142217643117,10.17886904326802,14.125
192,5760,137,0,1,31.18978102189781,2.781277753419022,8.350711047569542,10.625
193,5790,142,2,1,46.78169014084507,1.8315354771390036,9.019943181639228,14.125
194,5820,146,0,0,30.643835616438356,2.3744219231718695,9.54921462739214,11.75
195,5850,145,2,2,22.06206896551724,2.7147668984789224,7.790218225441442,10.25
196,5880,147,1,0,18.238095238095237,2.7500739249820985,7.952004464284461,11.625
197,5910,151,0,2,23.582781456953644,2.4360395756622104,5.925316447245666,11.875
198,5940,159,0,1,26.19496855345912,2.3395950963428924,8.335728822364604,12.625
199,5970,159,0,0,49.0377358490566,1.1166298372365473,10.172727018847993,17.375
200,6000,146,0,1,47.30821917808219,2.1834660563442787,11.573136999102706,12.75
201,6030,137,1,1,40.67153284671533,2.752771677325758,8.968695557326049,11.75
202,6060,134,1,1,20.28358208955224,2.653734142767703,6.552671211040578,9.75
203,6090,136,1,1,28.433823529411764,2.5998979435585743,7.355907489902249,11.125
204,6120,145,1,2,23.317241379310346,2.7227730235149967,7.880950133074057,11.125
205,6150,151,0,1,28.75496688741722,2.229262551082503,8.809618323173826,12.875
206,6180,150,0,0,24.9,2.3694106519261466,8.04673846971554,12.0
207,6210,152,0,1,29.401315789473685,2.5111342109552304,8.1967981553775,12.75
208,6240,150,0,1,29.8,2.332087621552016,7.590083991630133,13.125
209,6270,159,2,2,29.32075471698113,2.216503161699007,9.386659416427124,13.875
210,6300,150,1,1,29.453333333333333,2.3089889959806147,8.39270516579726,12.75
211,6330,146,0,1,45.08904109589041,1.9534854073889096,9.259285879591364,13.625
212,6360,140,0,1,34.56428571428572,2.4186889619845617,9.759610647971568,11.5
213,6390,137,1,2,30.284671532846716,2.325125574154696,8.53577032258952,12.125
214,6420,141,0,2,19.929078014184398,2.4329367401824307,6.556247020971678,10.375
215,6450,144,2,2,19.28472222222222,2.814244239764227,6.94172168845741,10.25
216,6480,148,0,2,25.527027027027028,2.155220184138365,9.065732182234372,13.25
217,6510,147,1,1,30.591836734693878,2.249903686998131,8.305683295190107,11.625
218,6540,147,2,1,26.27891156462585,2.510175224212827,8.045767520877048,11.375
219,6570,151,0,1,22.596026490066226,2.4868876264416993,7.253232038202004,12.125
220,6600,155,1,1,27.303225806451614,2.1885441721015146,7.833222516946649,13.875
221,6630,153,0,1,26.281045751633986,2.223668840498346,8.108637370113428,12.5
222,6660,138,0,1,51.31159420289855,1.4860416985023377,9.439776215567825,14.875
223,6690,121,0,1,71.0909090909091,2.209939995670681,11.20267825120404,11.5
224,6720,99,0,1,54.505050505050505,3.3584018213368383,7.975548570474635,6.875
225,6750,90,0,1,13.444444444444445,3.807657174614525,6.223694642252301,5.625
226,6780,81,1,1,20.098765432098766,4.711948853622752,3.570714214271425,5.0
227,6810,72,0,0,28.694444444444443,1.8882760911674907,4.2130748865881795,7.0
228,6840,73,0,2,33.75342465753425,3.896360465848792,5.766281297335398,5.5
229,6870,66,0,0,32.60606060606061,5.6018938816285,3.8709656418005056,3.375
230,6900,54,0,2,15.944444444444445,4.038461252814012,3.887077951366553,3.875
231,6930,50,0,2,17.9,4.76233282025436,5.4184292004233106,3.125
232,6960,43,1,2,2.7209302325581395,7.895169231197681,1.964529205687714,1.125
233,6990,38,0,0,18.736842105263158,1.6065763726483229,3.6742346141747673,3.5
234,7020,50,0,0,35.54,0.8191328596992968,5.521265706339444,5.375
235,7050,59,0,2,27.1864406779661,4.8270523812666095,6.144102863722254,3.5
236,7080,50,0,2,3.98,6.9322140667354395,2.384848003542364,1.25
237,7110,32,1,1,18.53125,4.244121891251836,3.832427429188973,2.25
238,7140,38,0,0,32.76315789473684,2.473451222160744,5.973901572674261,3.25
239,7170,49,1,1,2.061224489795918,6.850266642778239,1.7320508075688772,1.0
240,7200,40,0,0,7.9,5.271910436314988,4.470388685561916,2.375
241,7230,38,1,2,3.4473684210526314,7.158700109889247,2.394655507583502,1.375
242,7260,34,0,0,4.205882352941177,8.104848808702654,2.29128784747792,1.0
243,7290,28,0,1,2.8214285714285716,7.501001606695782,1.5360257159305635,0.875
244,7320,26,0,0,4.076923076923077,7.28097862524461,1.3919410907075054,0.75
245,7350,26,0,0,2.076923076923077,8.525508980983144,0.8660254037844386,0.5
246,7380,23,0,2,3.652173913043478,6.6680855031545265,1.3919410907075054,0.75
247,7410,26,0,1,2.576923076923077,8.263090353927995,1.1110243021644486,0.625
248,7440,24,1,2,3.8333333333333335,6.999061438514597,1.6583123951777,1.0
249,7470,25,1,0,3.48,6.971318957907004,1.5360257159305635,0.875
250,7500,24,0,2,5.041666666666667,5.228068567697901,1.964529205687714,1.125
251,7530,28,1,1,1.5714285714285714,8.406111946376315,1.0,0.5
252,7560,22,1,2,2.6363636363636362,7.0216654547526645,1.0897247358851685,0.75
253,7590,24,1,1,2.7083333333333335,7.252570886769429,1.3919410907075054,0.75
254,7620,25,0,1,5.24,6.057466372650931,2.0879116360612584,1.125
255,7650,27,0,1,2.2962962962962963,7.698972695523984,1.299038105676658,0.75
256,7680,25,1,1,3.08,8.796986022325681,0.8569568250501305,0.625
257,7710,24,0,0,3.2916666666666665,7.293515487961616,1.1110243021644486,0.625
258,7740,25,0,2,4.88,6.673655428771989,1.8027756377319946,1.0
259,7770,27,0,2,2.2962962962962963,8.485447093777415,1.1110243021644486,0.625
260,7800,23,0,2,3.217391304347826,6.644822262611617,1.6393596310755,0.75
261,7830,25,0,0,14.44,4.853766354268827,2.7838821814150108,1.5
262,7860,31,1,2,2.6129032258064515,7.979729522140127,1.5360257159305635,0.875
