,Simulation_step,avg_wait_time_30,reward_30,reward_epoch
163,4920,92.57575757575758,1.1881313131313078,-92.57575757575758
164,4950,92.4076923076923,0.168065268065277,-92.4076923076923
165,4980,87.125,5.282692307692301,-87.125
166,5010,80.62264150943396,6.5023584905660385,-80.62264150943396
167,5040,73.19565217391305,7.426989335520915,-73.19565217391305
168,5070,62.627906976744185,10.567745197168861,-62.627906976744185
169,5100,71.88235294117646,-9.254445964432279,-71.88235294117646
170,5130,73.25,-1.367647058823536,-73.25
171,5160,77.14285714285714,-3.892857142857139,-77.14285714285714
172,5190,79.1625,-2.0196428571428555,-79.1625
173,5220,83.8,-4.637500000000003,-83.8
174,5250,84.19277108433735,-0.39277108433735464,-84.19277108433735
175,5280,83.29885057471265,0.8939205096247065,-83.29885057471265
176,5310,81.55913978494624,1.7397107897664057,-81.55913978494624
177,5340,68.1547619047619,13.404377880184342,-68.1547619047619
178,5370,60.90588235294118,7.248879551820721,-60.90588235294118
179,5400,51.559633027522935,9.346249325418242,-51.559633027522935
180,5430,62.333333333333336,-10.7737003058104,-62.333333333333336
181,5460,75.8,-13.466666666666661,-75.8
182,5490,82.46788990825688,-6.667889908256882,-82.46788990825688
183,5520,82.94827586206897,-0.48038595381208893,-82.94827586206897
184,5550,81.45669291338582,1.4915829486831456,-81.45669291338582
185,5580,84.93939393939394,-3.4827010260081153,-84.93939393939394
186,5610,87.27338129496403,-2.3339873555700876,-87.27338129496403
187,5640,89.46206896551725,-2.1886876705532217,-89.46206896551725
188,5670,88.31506849315069,1.1470004723665568,-88.31506849315069
189,5700,88.36912751677852,-0.054059023627829106,-88.36912751677852
190,5730,91.62585034013605,-3.256722823357535,-91.62585034013605
191,5760,94.94557823129252,-3.319727891156461,-94.94557823129252
192,5790,97.64285714285714,-2.6972789115646236,-97.64285714285714
193,5820,87.60583941605839,10.037017726798751,-87.60583941605839
194,5850,82.39333333333333,5.2125060827250564,-82.39333333333333
195,5880,88.1103448275862,-5.717011494252873,-88.1103448275862
196,5910,96.37931034482759,-8.268965517241384,-96.37931034482759
197,5940,99.52413793103449,-3.144827586206901,-99.52413793103449
198,5970,99.29166666666667,0.23247126436781684,-99.29166666666667
199,6000,97.92647058823529,1.3651960784313815,-97.92647058823529
200,30,0.5416666666666666,-0.5416666666666666,-0.5416666666666666
201,60,9.275,-8.733333333333334,-9.275
202,90,22.017241379310345,-12.742241379310345,-22.017241379310345
203,120,37.5,-15.482758620689655,-37.5
